ZIP,Keyword,Business Name,Address,Phone,Website,Rating,User Ratings,Google Maps Link
10128,coffee shop,Stella & Fly,"1705 1st Ave, New York, NY 10128, USA",(646) 678-3947,https://www.stella-and-fly.com/,4.7,380,https://www.google.com/maps/place/?q=place_id:ChIJ02xhIABZwokRrhp6POkOF9M
10128,coffee shop,City Coffee Bar,"914 Columbus Ave, New York, NY 10025, USA",(646) 398-7772,https://www.citycoffeebar.com/,4.7,196,https://www.google.com/maps/place/?q=place_id:ChIJ8brCiz_3wokRSuPBs1-8AuY
10128,coffee shop,Inès,"419 E 74th St, New York, NY 10021, USA",(917) 388-2299,,4.5,366,https://www.google.com/maps/place/?q=place_id:ChIJWXH80cBYwokRfEis5qEZT-w
10128,coffee shop,Ralph's Coffee,"888 Madison Ave, New York, NY 10021, USA",(212) 434-8000,http://www.ralphlauren.com/,4.3,1161,https://www.google.com/maps/place/?q=place_id:ChIJLx2u_exZwokRRATuJZ5qHJQ
10128,coffee shop,Frenchy Coffee NYC,"129E E 102nd St, New York, NY 10029, USA",(646) 891-0088,https://frenchycoffeenyc.com/,4.6,437,https://www.google.com/maps/place/?q=place_id:ChIJaz4QVx32wokRfpu9QxuGV-w
10128,coffee shop,Bluestone Lane Upper East Side Café,"1085 5th Ave, New York, NY 10128, USA",(718) 374-6858,https://bluestonelane.com/cafes/upper-east-side-1085-fifth-avenue-new-york/?y_source=1_ODc5MjkwMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.3,1423,https://www.google.com/maps/place/?q=place_id:ChIJj9E4GWxZwokR3JjtB6sR9GQ
10128,coffee shop,Oslo Coffee Roasters,"422 E 75th St, New York, NY 10021, USA",(718) 782-0332,http://www.oslocoffee.com/,4.6,374,https://www.google.com/maps/place/?q=place_id:ChIJZ9aRM8dYwokRzIfuGYNVasM
10128,coffee shop,Green Lane Coffee,"1582 1st Ave, New York, NY 10028, USA",(646) 590-1406,https://www.greenlane.coffee/,4.8,137,https://www.google.com/maps/place/?q=place_id:ChIJWZsMNCBZwokRacOaeq8yUaY
10128,coffee shop,Caffe Aronne,"976A Lexington Ave, New York, NY 10021, USA",(929) 496-6888,https://www.caffearonne.com/location/upper-east-side/,4.6,808,https://www.google.com/maps/place/?q=place_id:ChIJF9GeMbVZwokRGgxteyYs3Og
10128,coffee shop,Sip + Co.,"41 W 58th St, New York, NY 10019, USA",(516) 960-2283,http://sipandco.co/,4.5,581,https://www.google.com/maps/place/?q=place_id:ChIJK4Gklg1ZwokRmDGLQSxEaUI
10128,coffee shop,Coffee Cloud,"2134 Broadway, Astoria, NY 11106, USA",(203) 930-7070,https://www.instagram.com/coffeecloudnyc/,4.6,416,https://www.google.com/maps/place/?q=place_id:ChIJhWUI8YFfwokRnf0w_vrbRxI
10128,coffee shop,JJ Brown Cup,"1707 2nd Ave, New York, NY 10128, USA",(212) 369-3949,https://m.facebook.com/pages/The-Brown-Cup/315693311885913,4.6,98,https://www.google.com/maps/place/?q=place_id:ChIJN3saKLtYwokRIKI2NzT7W2s
10128,coffee shop,Variety Coffee Roasters,"1269 Lexington Ave, New York, NY 10028, USA",(212) 289-2104,https://varietycoffeeroasters.com/,4.4,566,https://www.google.com/maps/place/?q=place_id:ChIJPdvZ77xYwokRCdSJZL-hWm8
10128,coffee shop,Le Reveil Coffee,"1322 2nd Ave, New York, NY 10021, USA",(646) 368-9027,http://www.lereveilcoffeemenu.com/,4.4,296,https://www.google.com/maps/place/?q=place_id:ChIJAQA048FYwokRTaaCBdIdYvM
10128,coffee shop,Caffè Bacio,"1223 3rd Ave, New York, NY 10021, USA",(212) 737-4730,,3.9,105,https://www.google.com/maps/place/?q=place_id:ChIJlfOYXOpYwokRW1PJTM4nB1M
10128,coffee shop,Mellow Yellow,"1729 1st Ave, New York, NY 10128, USA",(212) 722-7220,https://www.mellowyellow.getsauce.com/,4.7,482,https://www.google.com/maps/place/?q=place_id:ChIJH8HnqbpYwokR06SBUZ7W4ME
10128,coffee shop,Handcraft Coffee,"151 E 77th St, New York, NY 10075, USA",(646) 922-7025,https://m.facebook.com/handcraftcoffeeNYC/,4.1,285,https://www.google.com/maps/place/?q=place_id:ChIJQd4g1r9YwokRtdoZ53HYkfU
10128,coffee shop,Cositas Café,"353 E 78th St, New York, NY 10075, USA",(347) 673-1733,https://www.cositascafenyc.com/,4.9,150,https://www.google.com/maps/place/?q=place_id:ChIJmWwZ8atZwokRVA57YG8PofA
10128,coffee shop,Azalea Café,"409 E 116th St, New York, NY 10029, USA",(646) 449-8368,,4.7,146,https://www.google.com/maps/place/?q=place_id:ChIJEfNe1Bz1wokRigYhqRFtkHc
10128,coffee shop,Blank Street Coffee,"985 Lexington Ave, New York, NY 10021, USA",,http://blankstreet.com/,4.2,205,https://www.google.com/maps/place/?q=place_id:ChIJwQZano1ZwokRwQBeBW7lv6w
10128,coffee shop,RALPH LAUREN COFFEE,"888 Madison Ave, New York, NY 10021, USA",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2YS0HgBZwokRxU0h-qwALhQ
10128,coffee shop,787 Coffee,"228 E 80th St, New York, NY 10075, USA",(646) 850-0234,http://www.787coffee.com/,4.8,2005,https://www.google.com/maps/place/?q=place_id:ChIJkRrVE11ZwokR49wrhCtS89A
10128,coffee shop,L'avion Café,"338 E 92nd St, New York, NY 10128, USA",(844) 752-8466,https://lavion.cafe/,4.6,88,https://www.google.com/maps/place/?q=place_id:ChIJU0Us8KdZwokR-MV727eIY9I
10128,coffee shop,The Coffee Inn,"1314 1st Ave, New York, NY 10021, USA",(646) 590-2844,https://thecoffeeinn.getsauce.com/,4.3,240,https://www.google.com/maps/place/?q=place_id:ChIJ2e6Qd8FYwokRB_ZImE4zxmY
10128,coffee shop,Perk Coffee,"1867 2nd Ave, Manhattan, NY 10029, USA",(212) 686-7375,http://www.perkcoffee.com/,4.3,268,https://www.google.com/maps/place/?q=place_id:ChIJo4vNrKhYwokRq0tOvcHacUA
10128,coffee shop,Marathon Coffee,"1592 3rd Ave, New York, NY 10128, USA",,http://marathon.coffee/,4.5,76,https://www.google.com/maps/place/?q=place_id:ChIJ1WdrGKBZwokRae3IJ-W5_7c
10128,coffee shop,Dear Coffee,"1246 Lexington Ave, New York, NY 10028, USA",,https://www.dearcoffeenyc.com/,4.8,207,https://www.google.com/maps/place/?q=place_id:ChIJc5JbTQBZwokRoL3-gj8gCS8
10128,coffee shop,Picky Barista,"667 Columbus Ave, New York, NY 10025, USA",(646) 684-3037,http://www.pickybarista.com/,4.5,490,https://www.google.com/maps/place/?q=place_id:ChIJNaiZHlBZwokRg8lJdrW099w
