Business Name,Email Sent To,Website
City Coffee Bar,citycoffeebarus@gmail.comPowered,https://www.citycoffeebar.com/
Frenchy Coffee NYC,info@frenchycoffeenyc.com,https://frenchycoffeenyc.com/
Oslo Coffee Roasters,sales@oslocoffee.com,http://www.oslocoffee.com/
Green Lane Coffee,Instagraminfo@greenlane.coffee,https://www.greenlane.coffee/
Sip + Co.,Contactinfo@sipandco.co,http://sipandco.co/
Cositas Café,Yorkinfo@cositascafenyc.com,https://www.cositascafenyc.com/
Birch Coffee,30thstreet@birchcoffee.com,https://shop.birchcoffee.com/pages/visit
Birch Coffee,30thstreet@birchcoffee.com,https://shop.birchcoffee.com/pages/visit
Winfield Street Coffee- 86th Street,info@winfieldcoffee.com,https://www.winfieldcoffee.com/
PABADE CAFE AND BAKERY,wholesale@pabadebakery.com,http://www.pabadebakery.com/
Château le Woof,hello@chateaulewoof.com,http://www.chateaulewoof.com/
Hutch and Waldo,support@hutchandwaldo.com,https://hutchandwaldo.com/ordernow
JFD Shoe Repair,Info@jfdshoerepair.com,http://jfdshoerepair.com/
Yanz Leather Services,yanzshoe@gmail.com,https://yanzleather.com/
MarJos Shoe Repair,Marjosrepair@gmail.com,http://marjosrepair.com/
Cobbler Express,info@cobblerexpress.com,https://cobblerexpress.com/
Pookie & Sebastian,business@pookieandsebastian.com,http://www.pookieandsebastian.com/
La Mode Royale,info@lamoderoyale.nyc,https://www.lamoderoyale.nyc/
Wolford Boutique New York,service.usa@wolford.com,http://www.wolfordshop.com/
LanaBlu Boutique,info@volang.nyc,http://www.lanablu.com/
LoveShackFancy,Connect619-373-1543customerservice@loveshackfancy.comMonday,http://loveshackfancy.com/
St. John Knits Boutique,clientservices@sjk.com,https://www.stjohnknits.com/
Xclusive Arrivals Sneaker Boutique,filler@godaddy.comBookingsOrdersMy,http://xclusivearrivals.com/
Spring Flowers Children's Boutique,Sample@email.com,https://www.fleurisse.com/pages/boutiques.html
Wolford Boutique,service.usa@wolford.com,http://www.wolfordshop.com/
Artsy Flora Floral Boutique,10021212-472-3796service@artsyflora.com,https://artsyflora.com/
DOLCE & GABBANA New York Madison Ave. Store (Children's),Sustainabilitysustainability@dolcegabbana.comWhistleblowingFOLLOW,https://www.dolcegabbana.com/?utm_source=gmb&utm_medium=yext
ANCESTRAL BOUTIQUE NY,ancestral.corpo@gmail.comHORARIO,http://www.ancestralboutiquenyc.com/
Marina B Boutique,info@marinab.com,http://www.marinab.com/
Chip City,InformationContactCustomerService@ChipCityCookies.comOpen,https://chipcitycookies.com/locations/upper-east-side
Logos Bookstore,name@domain.com,https://www.logosbookstorenyc.com/
Lalu Deli Grocery,laludeli594@gmail.com,https://www.laludeli.com/
Ottomanelli Bros,orders@nycotto.comCopyright,https://www.nycotto.com/
Choices Books & Gift Shop,794-3858info@choicesgifts.comGet,http://www.choicesgifts.com/
Frenchy Coffee NYC,info@frenchycoffeenyc.com,https://frenchycoffeenyc.com/
City Swiggers,Info@cityswiggers.com,http://www.cityswiggers.com/
East End Wine Exchange,10028212-396-999968eastendwine@gmail.comPagesAboutShipping,http://eastendwines.nyc/
My Little Magic Shop,info@mylittlemagicshop.com,http://mylittlemagicshop.com/
S Feldman Housewares,contact@wares.nyc,https://sfeldmanhousewares.com/
MyCityOasis,filler@godaddy.comBookingsOrdersMy,http://www.mycityoasis.com/
The Mansion,usinfo@mansiondiner.comCall,http://www.mansiondiner.com/
Heavy Metal Bike Shop,Shopo.sedano58@gmail.com,https://osedano58.wixsite.com/website
Pastrami Queen,contact@pastramiqueen.com,http://pastramiqueen.com/
Design Brand Print – Your Local Print Shop,ContactUs@DesignBrandPrint.com,https://www.designbrandprint.com/
